date,season,team,opp,event,crown_holder,crown_team,prev_holder,prev_team,gmsc,streak,total_games
2025-05-14,2025,BOS,NYK,transfer_loss,Derrick White,BOS,Jalen Brunson,NYK,26.80,1,1
2025-05-16,2025,NYK,BOS,transfer_loss,Jalen Brunson,NYK,Derrick White,BOS,20.00,1,1
2025-05-21,2025,IND,NYK,transfer_loss,Tyrese Haliburton,IND,Jalen Brunson,NYK,26.00,1,1
2025-05-23,2025,IND,NYK,transfer_teammate,Pascal Siakam,IND,Tyrese Haliburton,IND,30.10,1,1
2025-05-25,2025,NYK,IND,transfer_loss,OG Anunoby,NYK,Pascal Siakam,IND,15.20,1,1
2025-05-27,2025,IND,NYK,transfer_loss,Tyrese Haliburton,IND,OG Anunoby,NYK,36.40,1,1
2025-05-29,2025,NYK,IND,transfer_loss,Jalen Brunson,NYK,Tyrese Haliburton,IND,26.10,1,1
2025-05-31,2025,IND,NYK,transfer_loss,Pascal Siakam,IND,Jalen Brunson,NYK,26.30,1,1
2025-06-05,2025,IND,OKC,defend,Pascal Siakam,IND,Pascal Siakam,IND,16.50,2,2
2025-06-08,2025,OKC,IND,transfer_loss,Shai Gilgeous-Alexander,OKC,Pascal Siakam,IND,31.90,1,1
2025-06-11,2025,IND,OKC,transfer_loss,Bennedict Mathurin,IND,Shai Gilgeous-Alexander,OKC,23.80,1,1
2025-06-13,2025,OKC,IND,transfer_loss,Shai Gilgeous-Alexander,OKC,Bennedict Mathurin,IND,24.00,1,1
2025-06-16,2025,OKC,IND,transfer_teammate,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,30.30,1,1
2025-06-19,2025,IND,OKC,transfer_loss,Andrew Nembhard,IND,Jalen Williams,OKC,18.10,1,1
2025-06-22,2025,OKC,IND,transfer_loss,Shai Gilgeous-Alexander,OKC,Andrew Nembhard,IND,22.20,1,1
2026-04-19,2026,OKC,PHO,transfer_teammate,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,22.50,1,1
2026-04-22,2026,OKC,PHO,transfer_teammate,Shai Gilgeous-Alexander,OKC,Jalen Williams,OKC,30.50,1,1
2026-04-25,2026,OKC,PHO,defend,Shai Gilgeous-Alexander,OKC,Shai Gilgeous-Alexander,OKC,38.60,2,2
2026-04-27,2026,OKC,PHO,defend,Shai Gilgeous-Alexander,OKC,Shai Gilgeous-Alexander,OKC,25.40,3,3
