date,season,team,opp,event,crown_holder,crown_team,prev_holder,prev_team,gmsc,streak,total_games
2006-06-18,2006,MIA,DAL,defend,Dwyane Wade,MIA,Dwyane Wade,MIA,29.80,3,3
2006-06-20,2006,MIA,DAL,defend,Dwyane Wade,MIA,Dwyane Wade,MIA,32.60,4,4
2007-04-21,2007,CHI,MIA,transfer_loss,Luol Deng,CHI,Dwyane Wade,MIA,27.30,1,1
2007-04-24,2007,CHI,MIA,defend,Luol Deng,CHI,Luol Deng,CHI,22.90,2,2
2007-04-27,2007,CHI,MIA,transfer_teammate,Kirk Hinrich,CHI,Luol Deng,CHI,16.90,1,1
2007-04-29,2007,CHI,MIA,transfer_teammate,Luol Deng,CHI,Kirk Hinrich,CHI,21.50,1,1
2007-05-05,2007,DET,CHI,transfer_loss,Richard Hamilton,DET,Luol Deng,CHI,15.30,1,1
2007-05-07,2007,DET,CHI,transfer_teammate,Chris Webber,DET,Richard Hamilton,DET,20.00,1,1
2007-05-10,2007,DET,CHI,transfer_teammate,Tayshaun Prince,DET,Chris Webber,DET,21.20,1,1
2007-05-13,2007,CHI,DET,transfer_loss,Luol Deng,CHI,Tayshaun Prince,DET,20.30,1,1
2007-05-15,2007,CHI,DET,defend,Luol Deng,CHI,Luol Deng,CHI,20.20,2,2
2007-05-17,2007,DET,CHI,transfer_loss,Chauncey Billups,DET,Luol Deng,CHI,20.10,1,1
2007-05-21,2007,DET,CLE,transfer_teammate,Richard Hamilton,DET,Chauncey Billups,DET,20.50,1,1
2007-05-24,2007,DET,CLE,transfer_teammate,Rasheed Wallace,DET,Richard Hamilton,DET,17.40,1,1
2007-05-27,2007,CLE,DET,transfer_loss,LeBron James,CLE,Rasheed Wallace,DET,28.50,1,1
2007-05-29,2007,CLE,DET,defend,LeBron James,CLE,LeBron James,CLE,24.30,2,2
2007-05-31,2007,CLE,DET,defend,LeBron James,CLE,LeBron James,CLE,38.10,3,3
2007-06-02,2007,CLE,DET,transfer_teammate,Daniel Gibson,CLE,LeBron James,CLE,26.30,1,1
2007-06-07,2007,SAS,CLE,transfer_loss,Tim Duncan,SAS,Daniel Gibson,CLE,25.00,1,1
2007-06-10,2007,SAS,CLE,transfer_teammate,Tony Parker,SAS,Tim Duncan,SAS,22.00,1,1
2007-06-12,2007,SAS,CLE,transfer_teammate,Bruce Bowen,SAS,Tony Parker,SAS,12.20,1,1
2007-06-14,2007,SAS,CLE,transfer_teammate,Manu Ginóbili,SAS,Bruce Bowen,SAS,17.70,1,1
2008-04-19,2008,SAS,PHO,transfer_teammate,Tim Duncan,SAS,Manu Ginóbili,SAS,35.90,1,1
2008-04-22,2008,SAS,PHO,transfer_teammate,Tony Parker,SAS,Tim Duncan,SAS,24.30,1,1
2008-04-25,2008,SAS,PHO,defend,Tony Parker,SAS,Tony Parker,SAS,37.30,2,2
2008-04-27,2008,PHO,SAS,transfer_loss,Raja Bell,PHO,Tony Parker,SAS,27.40,1,1
2008-04-29,2008,SAS,PHO,transfer_loss,Tony Parker,SAS,Raja Bell,PHO,22.40,1,1
2008-05-03,2008,NOH,SAS,transfer_loss,David West,NOH,Tony Parker,SAS,21.90,1,1
2008-05-05,2008,NOH,SAS,transfer_teammate,Chris Paul,NOH,David West,NOH,28.20,1,1
2008-05-08,2008,SAS,NOH,transfer_loss,Tony Parker,SAS,Chris Paul,NOH,23.70,1,1
2008-05-11,2008,SAS,NOH,transfer_teammate,Tim Duncan,SAS,Tony Parker,SAS,23.90,1,1
2008-05-13,2008,NOH,SAS,transfer_loss,David West,NOH,Tim Duncan,SAS,38.10,1,1
